transform,input,local_output,remote_output,status
hy-hy_FONIPA,հայերեն լեdelays,hajɛɾɛn lɛdelays,hajɛɾɛn lɛdelays,match
Gujarati-ur,ગુજરાતી લખાણ,گوجراتی لکھان,‎گوجراتی لکھان‎,match
sat-ar,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,تْشافي ريسومي A O U سس AE أي D ته L ن,‎تْشافي ريسومي Ä Ö Ü ß Æ أ Ð þ Ł ن‎,mismatch
Latin-Kannada,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,ಚೞೆ ರೆಸುಮೆ ಅ ಒ ಉ ss ae oe d th l ಞ್,ಚೞೆ́ ರೆ́ಸುಮೆ́ ಅ̈ ಒ̈ ಉ̈ ß Æ œ Ð þ Ł ಞ್,mismatch
Malayalam-Bengali,മലയാളം എഴുത്ത്,মলযালং এলুত্ত্,মলযালং এলুত্ত্,match
Gujarati-Tamil,ગુજરાતી લખાણ,குஜராதீ லகாண,குஜராதீ லகாண,match
Oriya-InterIndic,ଓଡ଼ିଆ ଲେଖା,,"{:http_error, ""timeout""}",remote_error
Greek-Latin,αβγδεζηθικλμ,abgdezēthiklm,abgdezēthiklm,match
Devanagari-Kannada,हिन्दी नमस्ते,ಹಿನ್ದೀ ನಮಸ್ತೇ,ಹಿನ್ದೀ ನಮಸ್ತೇ,match
Bengali-ur,বাংলা লেখা,بانلا لیکھا,‎بانلا لیکھا‎,match
Gurmukhi-Bengali,ਪੰਜਾਬੀ ਲਿਖਤ,পজাবী লিখত,পজাবী লিখত,match
Latin-Gurmukhi,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,ਚਫ਼ੇ ਰੇਸੁਮੇ ਅ ਓ ਉ ss ae oe d th l ਞ੍,ਚਫ਼ੇ́ ਰੇ́ਸੁਮੇ́ ਅ̈ ਓ̈ ਉ̈ ß Æ œ Ð þ Ł ਞ੍,mismatch
ro-ja,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,カフェ・レスメ・ア・オ・ウ・スス・アエ・オエ・ド・トh・ル・ン,カフé・ルéスムé・ä・ö・ü・ß・æ・œ・ð・þ・ł・ñ,mismatch
eo-eo_FONIPA,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,t͡safe resume ä ö ü ß æ œ ð þ ł ñ,t͡safe resume ä ö ü ß æ œ ð þ ł ñ,match
